veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,severity,frequincy
4.349,0.3258042437,0,0,0.0,UTE,1,F,D,2,0.0,0.0
0.87,0.1204654346,0,0,0.0,SEDAN,4,F,B,3,0.0,0.0
0.84,0.848733744,0,0,0.0,HBACK,4,F,A,5,0.0,0.0
1.16,0.8514715948,0,0,0.0,SEDAN,4,M,A,6,0.0,0.0
1.51,0.9062286105,0,0,0.0,SEDAN,3,M,A,1,0.0,0.0
1.44,0.9062286105,0,0,0.0,PANVN,3,M,A,2,0.0,0.0
1.31,0.1451060917,0,0,0.0,STNWG,3,M,A,6,0.0,0.0
1.19,0.1478439425,0,0,0.0,HBACK,4,M,B,3,0.0,0.0
1.89,0.0930869268,0,0,0.0,STNWG,4,F,F,5,0.0,0.0
0.46,0.5557837098,0,0,0.0,HBACK,4,F,C,4,0.0,0.0
1.97,0.5557837098,0,0,0.0,SEDAN,2,F,A,1,0.0,0.0
1.68,0.8542094456,0,0,0.0,SEDAN,2,M,C,4,0.0,0.0
2.2,0.4435318275,0,0,0.0,STNWG,4,F,D,4,0.0,0.0
1.1,0.0930869268,0,0,0.0,HBACK,3,F,B,3,0.0,0.0
1.78,0.5557837098,0,0,0.0,HBACK,3,F,B,2,0.0,0.0
2.95,0.8542094456,0,0,0.0,STNWG,3,F,D,4,0.0,0.0
0.96,0.8514715948,0,0,0.0,UTE,4,M,C,3,0.0,0.0
1.07,0.8542094456,0,0,0.0,SEDAN,3,F,A,5,0.0,0.0
1.0,0.0930869268,0,0,0.0,HBACK,3,M,A,5,0.0,0.0
1.17,0.9062286105,0,0,0.0,HBACK,3,F,D,4,0.0,0.0
0.67,0.8542094456,0,0,0.0,SEDAN,4,F,F,6,0.0,0.0
1.42,0.8514715948,0,0,0.0,SEDAN,3,F,C,2,0.0,0.0
1.41,0.0930869268,0,0,0.0,SEDAN,2,F,A,3,0.0,0.0
0.99,0.8761122519,0,0,0.0,HDTOP,4,M,D,6,0.0,0.0
2.25,0.4407939767,0,0,0.0,UTE,3,F,D,4,0.0,0.0
2.04,0.0876112252,0,0,0.0,HBACK,2,F,E,2,0.0,0.0
0.97,0.1067761807,0,0,0.0,HBACK,2,F,D,6,0.0,0.0
0.0,0.9993155373,0,0,0.0,STNWG,4,F,C,6,0.0,0.0
1.12,0.1451060917,0,0,0.0,SEDAN,4,F,E,2,0.0,0.0
2.67,0.8514715948,1,1,200.0,STNWG,2,F,A,4,200.0,1.17
1.79,0.0930869268,0,0,0.0,SEDAN,1,F,C,3,0.0,0.0
1.16,0.0930869268,0,0,0.0,UTE,4,F,D,4,0.0,0.0
2.62,0.848733744,0,0,0.0,STNWG,3,F,C,3,0.0,0.0
1.18,0.5448323066,0,0,0.0,STNWG,3,F,B,3,0.0,0.0
1.94,0.5311430527,0,0,0.0,SEDAN,2,F,B,6,0.0,0.0
1.4,0.848733744,0,0,0.0,SEDAN,3,M,C,5,0.0,0.0
1.07,0.9062286105,0,0,0.0,SEDAN,2,F,A,4,0.0,0.0
0.85,0.848733744,0,0,0.0,HBACK,3,F,A,2,0.0,0.0
0.97,0.0930869268,0,0,0.0,HBACK,2,F,C,3,0.0,0.0
4.09,0.848733744,0,0,0.0,STNWG,2,F,F,4,0.0,0.0
0.69,0.0930869268,0,0,0.0,SEDAN,4,F,C,3,0.0,0.0
2.32,0.848733744,0,0,0.0,SEDAN,2,F,A,3,0.0,0.0
4.28,0.5311430527,0,0,0.0,STNWG,2,M,A,4,0.0,0.0
0.52,0.8596851472,0,0,0.0,HBACK,4,F,B,6,0.0,0.0
0.97,0.4024640657,0,0,0.0,HBACK,3,M,B,2,0.0,0.0
2.06,0.848733744,0,0,0.0,TRUCK,3,M,E,4,0.0,0.0
2.74,0.0930869268,0,0,0.0,STNWG,1,M,D,2,0.0,0.0
0.66,0.848733744,0,0,0.0,HBACK,4,F,B,4,0.0,0.0
1.35,0.1505817933,0,0,0.0,SEDAN,3,F,A,2,0.0,0.0
1.7,0.0930869268,0,0,0.0,SEDAN,2,F,A,2,0.0,0.0
1.01,0.1478439425,0,0,0.0,HDTOP,4,M,F,3,0.0,0.0
0.9,0.8542094456,0,0,0.0,HDTOP,4,M,C,5,0.0,0.0
4.78,0.9062286105,0,0,0.0,STNWG,1,F,C,3,0.0,0.0
0.35,0.848733744,0,0,0.0,SEDAN,4,F,C,4,0.0,0.0
0.73,0.848733744,0,0,0.0,SEDAN,4,F,C,3,0.0,0.0
1.24,0.8514715948,0,0,0.0,STNWG,3,F,C,4,0.0,0.0
1.74,0.8514715948,0,0,0.0,HBACK,2,F,B,3,0.0,0.0
0.85,0.848733744,0,0,0.0,HBACK,3,M,B,4,0.0,0.0
2.34,0.1505817933,0,0,0.0,SEDAN,3,M,C,3,0.0,0.0
0.89,0.5229295003,0,0,0.0,HBACK,3,M,A,5,0.0,0.0
4.4,0.8514715948,0,0,0.0,TRUCK,1,F,E,4,0.0,0.0
2.12,0.8542094456,0,0,0.0,STNWG,3,F,E,5,0.0,0.0
0.54,0.0574948665,1,1,2207.329998,SEDAN,4,F,C,4,2207.0,17.39
1.26,0.8542094456,0,0,0.0,STNWG,3,F,A,4,0.0,0.0
1.71,0.5311430527,0,0,0.0,HBACK,1,M,D,3,0.0,0.0
1.68,0.8514715948,0,0,0.0,HBACK,3,F,A,4,0.0,0.0
1.14,0.8542094456,0,0,0.0,SEDAN,3,M,C,5,0.0,0.0
1.17,0.8514715948,0,0,0.0,HBACK,3,F,E,3,0.0,0.0
1.24,0.848733744,0,0,0.0,SEDAN,3,F,C,5,0.0,0.0
1.22,0.8542094456,0,0,0.0,HBACK,3,M,A,5,0.0,0.0
0.72,0.5639972621,0,0,0.0,HBACK,4,F,C,2,0.0,0.0
0.93,0.8021902806,0,0,0.0,HBACK,3,F,B,1,0.0,0.0
0.82,0.8542094456,0,0,0.0,HBACK,3,F,B,6,0.0,0.0
0.68,0.1451060917,0,0,0.0,SEDAN,4,F,A,1,0.0,0.0
0.99,0.8542094456,0,0,0.0,SEDAN,3,F,B,6,0.0,0.0
0.52,0.6242299795,0,0,0.0,SEDAN,4,F,D,6,0.0,0.0
2.32,0.8514715948,0,0,0.0,HBACK,1,F,A,1,0.0,0.0
1.68,0.8542094456,0,0,0.0,HBACK,3,F,C,6,0.0,0.0
0.59,0.629705681,0,0,0.0,UTE,4,M,B,1,0.0,0.0
1.58,0.3696098563,0,0,0.0,SEDAN,3,M,A,3,0.0,0.0
1.8,0.6406570842,0,0,0.0,STNWG,2,F,A,2,0.0,0.0
3.199,0.1451060917,0,0,0.0,STNWG,1,M,E,2,0.0,0.0
2.47,0.6406570842,0,0,0.0,STNWG,3,M,B,5,0.0,0.0
2.86,0.3586584531,0,0,0.0,SEDAN,2,M,A,5,0.0,0.0
1.32,0.3586584531,0,0,0.0,HBACK,3,M,C,6,0.0,0.0
1.13,0.3586584531,0,0,0.0,HBACK,2,F,D,6,0.0,0.0
0.79,0.3586584531,0,0,0.0,SEDAN,4,M,D,6,0.0,0.0
0.81,0.3586584531,0,0,0.0,HBACK,3,F,B,6,0.0,0.0
1.26,0.9993155373,1,1,200.0,HBACK,2,F,C,5,200.0,1.0
1.35,0.3586584531,0,0,0.0,HBACK,1,F,D,4,0.0,0.0
0.46,0.3586584531,0,0,0.0,HBACK,4,F,C,5,0.0,0.0
0.93,0.3586584531,0,0,0.0,HBACK,3,M,E,6,0.0,0.0
4.62,0.8514715948,0,0,0.0,STNWG,3,F,A,4,0.0,0.0
5.28,0.4271047228,0,0,0.0,SEDAN,1,M,C,6,0.0,0.0
1.77,0.3586584531,0,0,0.0,HBACK,1,M,C,6,0.0,0.0
2.9,0.8514715948,0,0,0.0,STNWG,3,M,C,1,0.0,0.0
3.43,0.8514715948,0,0,0.0,STNWG,3,F,A,3,0.0,0.0
1.18,0.8514715948,0,0,0.0,SEDAN,3,M,C,3,0.0,0.0
1.74,0.3586584531,0,0,0.0,SEDAN,3,M,A,4,0.0,0.0
1.08,0.8514715948,0,0,0.0,SEDAN,3,F,C,4,0.0,0.0
2.89,0.1478439425,0,0,0.0,SEDAN,1,F,A,3,0.0,0.0
3.749,0.2792607803,0,0,0.0,STNWG,1,M,F,4,0.0,0.0
0.73,0.0821355236,1,1,3489.539978,SEDAN,4,F,C,4,3490.0,12.18
1.31,0.1478439425,0,0,0.0,STNWG,3,F,B,3,0.0,0.0
1.13,0.3586584531,0,0,0.0,SEDAN,3,F,D,4,0.0,0.0
0.74,0.3586584531,0,0,0.0,HBACK,4,M,A,5,0.0,0.0
1.77,0.629705681,0,0,0.0,STNWG,2,M,D,6,0.0,0.0
1.04,0.3586584531,0,0,0.0,STNWG,3,F,C,6,0.0,0.0
1.22,0.3586584531,0,0,0.0,STNWG,4,M,E,4,0.0,0.0
1.9,0.3586584531,0,0,0.0,SEDAN,1,M,B,5,0.0,0.0
1.6,0.8514715948,0,0,0.0,SEDAN,3,F,B,4,0.0,0.0
3.03,0.2327173169,0,0,0.0,STNWG,1,F,C,5,0.0,0.0
2.98,0.3586584531,0,0,0.0,STNWG,1,F,D,4,0.0,0.0
1.22,0.8514715948,0,0,0.0,STNWG,4,F,C,6,0.0,0.0
0.83,0.8514715948,0,0,0.0,HBACK,3,M,B,3,0.0,0.0
1.24,0.8514715948,0,0,0.0,HBACK,3,F,A,3,0.0,0.0
0.7,0.6406570842,1,1,1940.5399971,UTE,4,M,B,1,1941.0,1.56
1.59,0.1478439425,0,0,0.0,SEDAN,1,F,C,1,0.0,0.0
1.27,0.4380561259,0,0,0.0,STNWG,4,M,B,3,0.0,0.0
1.1,0.3586584531,0,0,0.0,MIBUS,4,F,C,4,0.0,0.0
1.51,0.1505817933,1,1,587.15999985,MIBUS,4,F,B,2,587.0,6.64
1.35,0.1505817933,0,0,0.0,SEDAN,3,F,B,2,0.0,0.0
0.5,0.3586584531,0,0,0.0,STNWG,4,M,D,4,0.0,0.0
0.71,0.3394934976,0,0,0.0,HBACK,4,F,A,5,0.0,0.0
0.53,0.3586584531,0,0,0.0,HBACK,4,F,C,3,0.0,0.0
2.81,0.848733744,0,0,0.0,STNWG,3,M,B,4,0.0,0.0
1.18,0.848733744,0,0,0.0,SEDAN,3,F,B,3,0.0,0.0
1.05,0.1505817933,0,0,0.0,STNWG,4,F,C,4,0.0,0.0
0.59,0.1889117043,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0
0.37,0.3586584531,0,0,0.0,HBACK,4,F,C,4,0.0,0.0
3.04,0.2655715264,0,0,0.0,STNWG,3,F,D,2,0.0,0.0
1.46,0.3586584531,0,0,0.0,UTE,4,M,E,4,0.0,0.0
2.64,0.8514715948,0,0,0.0,TRUCK,3,M,C,2,0.0,0.0
1.02,0.1505817933,0,0,0.0,SEDAN,3,M,C,5,0.0,0.0
3.04,0.848733744,0,0,0.0,STNWG,3,M,E,1,0.0,0.0
1.13,0.3586584531,0,0,0.0,STNWG,3,F,B,4,0.0,0.0
1.11,0.1533196441,0,0,0.0,STNWG,3,M,C,6,0.0,0.0
4.34,0.8596851472,0,0,0.0,STNWG,2,F,C,2,0.0,0.0
0.31,0.3586584531,0,0,0.0,HBACK,4,F,E,5,0.0,0.0
1.76,0.476386037,0,0,0.0,SEDAN,2,F,C,3,0.0,0.0
1.13,0.3586584531,0,0,0.0,HBACK,3,M,A,4,0.0,0.0
1.21,0.848733744,1,1,849.08999825,UTE,4,F,D,5,849.0,1.18
0.82,0.3969883641,0,0,0.0,HBACK,3,M,A,5,0.0,0.0
0.82,0.848733744,0,0,0.0,HBACK,4,F,A,3,0.0,0.0
1.54,0.848733744,0,0,0.0,SEDAN,2,F,C,2,0.0,0.0
2.27,0.1451060917,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0
2.56,0.3586584531,0,0,0.0,STNWG,3,M,F,4,0.0,0.0
1.37,0.848733744,0,0,0.0,SEDAN,3,F,C,4,0.0,0.0
1.79,0.3586584531,0,0,0.0,HBACK,2,M,A,5,0.0,0.0
0.74,0.3586584531,0,0,0.0,HBACK,4,F,A,2,0.0,0.0
0.74,0.3586584531,0,0,0.0,SEDAN,4,M,D,6,0.0,0.0
1.69,0.1478439425,0,0,0.0,SEDAN,3,M,A,5,0.0,0.0
0.5,0.8542094456,1,1,1247.1499977,HBACK,4,F,B,2,1247.0,1.17
1.91,0.3586584531,0,0,0.0,SEDAN,2,F,D,5,0.0,0.0
1.349,0.8459958932,0,0,0.0,HBACK,1,F,C,4,0.0,0.0
1.59,0.3586584531,0,0,0.0,HDTOP,4,M,D,4,0.0,0.0
1.89,0.9993155373,0,0,0.0,PANVN,2,M,C,2,0.0,0.0
0.93,0.1533196441,0,0,0.0,HBACK,3,F,C,2,0.0,0.0
0.6,0.3586584531,0,0,0.0,COUPE,4,F,A,3,0.0,0.0
0.7,0.2792607803,0,0,0.0,SEDAN,4,F,E,4,0.0,0.0
0.82,0.3586584531,0,0,0.0,SEDAN,3,F,A,5,0.0,0.0
1.29,0.8542094456,0,0,0.0,SEDAN,3,M,A,3,0.0,0.0
2.48,0.1149897331,0,0,0.0,SEDAN,1,M,A,6,0.0,0.0
0.52,0.1505817933,0,0,0.0,HBACK,4,M,C,3,0.0,0.0
0.81,0.605065024,1,1,2583.5799942,HBACK,3,M,D,4,2584.0,1.65
1.08,0.8542094456,0,0,0.0,SEDAN,4,F,E,2,0.0,0.0
1.04,0.3586584531,0,0,0.0,SEDAN,3,M,C,5,0.0,0.0
1.58,0.9993155373,0,0,0.0,SEDAN,3,F,A,3,0.0,0.0
1.31,0.3586584531,0,0,0.0,SEDAN,3,F,C,6,0.0,0.0
2.51,0.8459958932,1,1,353.79999971,STNWG,3,M,B,3,354.0,1.18
1.52,0.3586584531,0,0,0.0,SEDAN,2,M,C,6,0.0,0.0
1.42,0.8542094456,0,0,0.0,SEDAN,3,M,B,4,0.0,0.0
1.46,0.3586584531,0,0,0.0,SEDAN,3,F,D,4,0.0,0.0
1.58,0.8542094456,1,1,200.0,HBACK,3,F,C,5,200.0,1.17
1.72,0.8596851472,0,0,0.0,SEDAN,2,F,B,5,0.0,0.0
1.1,0.8542094456,0,0,0.0,SEDAN,3,F,D,4,0.0,0.0
0.82,0.3586584531,0,0,0.0,SEDAN,3,F,A,3,0.0,0.0
2.2,0.8542094456,1,4,6521.5499949,STNWG,3,F,B,3,1630.0,4.68
0.7,0.6570841889,0,0,0.0,HBACK,4,F,A,1,0.0,0.0
0.57,0.8542094456,0,0,0.0,UTE,4,M,D,4,0.0,0.0
1.28,0.8542094456,0,0,0.0,STNWG,4,F,C,4,0.0,0.0
1.39,0.3586584531,0,0,0.0,HBACK,1,F,A,2,0.0,0.0
1.74,0.8542094456,0,0,0.0,SEDAN,2,F,B,3,0.0,0.0
0.34,0.3586584531,0,0,0.0,HBACK,4,M,B,5,0.0,0.0
2.249,0.0492813142,0,0,0.0,SEDAN,1,F,B,4,0.0,0.0
1.549,0.9883641342,0,0,0.0,HBACK,1,M,A,3,0.0,0.0
4.58,0.6406570842,0,0,0.0,STNWG,2,F,A,3,0.0,0.0
2.13,0.1368925394,0,0,0.0,STNWG,2,M,D,5,0.0,0.0
1.3,0.8542094456,0,0,0.0,SEDAN,3,F,C,4,0.0,0.0
1.36,0.8569472964,0,0,0.0,HBACK,2,F,A,5,0.0,0.0
2.86,0.8514715948,0,0,0.0,MIBUS,3,F,A,5,0.0,0.0
1.02,0.3586584531,0,0,0.0,HBACK,3,F,D,3,0.0,0.0
1.47,0.8514715948,0,0,0.0,SEDAN,3,F,C,2,0.0,0.0
1.3,0.1177275838,0,0,0.0,SEDAN,3,F,A,5,0.0,0.0
1.11,0.3586584531,0,0,0.0,UTE,4,M,E,2,0.0,0.0
4.08,0.3586584531,0,0,0.0,SEDAN,2,F,A,6,0.0,0.0
2.44,0.8514715948,0,0,0.0,SEDAN,1,F,C,6,0.0,0.0
0.77,0.2628336756,0,0,0.0,SEDAN,4,M,B,6,0.0,0.0
2.28,0.3586584531,0,0,0.0,SEDAN,2,F,C,3,0.0,0.0
1.59,0.8542094456,0,0,0.0,SEDAN,2,F,E,5,0.0,0.0
4.11,0.6406570842,0,0,0.0,STNWG,2,M,A,3,0.0,0.0
0.57,0.8514715948,0,0,0.0,TRUCK,4,F,A,2,0.0,0.0
0.39,0.8514715948,0,0,0.0,SEDAN,4,M,B,6,0.0,0.0
2.38,0.8514715948,0,0,0.0,SEDAN,3,M,A,4,0.0,0.0
0.91,0.1533196441,0,0,0.0,SEDAN,3,F,D,2,0.0,0.0
1.05,0.8514715948,0,0,0.0,HBACK,2,F,D,5,0.0,0.0
2.18,0.3586584531,0,0,0.0,SEDAN,2,F,A,3,0.0,0.0
0.5,0.8514715948,0,0,0.0,HBACK,4,M,C,5,0.0,0.0
2.43,0.3586584531,0,0,0.0,STNWG,3,F,D,4,0.0,0.0
0.37,0.5284052019,1,2,1492.0999985,SEDAN,4,M,A,4,746.0,3.78
1.98,0.8459958932,0,0,0.0,HBACK,1,F,F,3,0.0,0.0
4.66,0.3586584531,1,1,691.79999924,STNWG,1,F,E,5,692.0,2.79
1.05,0.8514715948,0,0,0.0,HBACK,2,M,D,4,0.0,0.0
1.05,0.8514715948,0,0,0.0,HBACK,2,F,B,5,0.0,0.0
1.57,0.848733744,0,0,0.0,SEDAN,2,F,C,2,0.0,0.0
1.7,0.3586584531,0,0,0.0,HBACK,2,F,D,6,0.0,0.0
0.66,0.1478439425,0,0,0.0,SEDAN,4,M,C,4,0.0,0.0
1.99,0.8514715948,0,0,0.0,SEDAN,3,M,B,5,0.0,0.0
1.57,0.8514715948,0,0,0.0,SEDAN,2,M,C,6,0.0,0.0
1.6,0.3586584531,0,0,0.0,PANVN,3,F,D,1,0.0,0.0
4.27,0.8514715948,1,1,849.29999924,STNWG,2,M,B,5,849.0,1.17
0.51,0.8514715948,0,0,0.0,STNWG,4,F,B,5,0.0,0.0
1.0,0.2245037645,1,1,5415.3799896,HBACK,3,F,C,3,5415.0,4.45
1.22,0.9993155373,0,0,0.0,HBACK,3,M,B,5,0.0,0.0
2.03,0.3586584531,0,0,0.0,STNWG,3,F,C,4,0.0,0.0
1.49,0.848733744,0,0,0.0,SEDAN,2,F,C,5,0.0,0.0
1.45,0.1505817933,0,0,0.0,TRUCK,4,F,D,4,0.0,0.0
1.5,0.0876112252,0,0,0.0,STNWG,3,F,C,2,0.0,0.0
2.76,0.462696783,0,0,0.0,HBACK,1,M,A,1,0.0,0.0
2.02,0.8596851472,1,1,3723.6363602,HDTOP,3,M,F,3,3724.0,1.16
4.05,0.1423682409,0,0,0.0,STNWG,2,M,C,5,0.0,0.0
1.99,0.1396303901,0,0,0.0,HBACK,2,F,A,3,0.0,0.0
1.74,0.8596851472,0,0,0.0,SEDAN,2,F,A,4,0.0,0.0
1.18,0.1998631075,0,0,0.0,SEDAN,3,M,B,4,0.0,0.0
3.94,0.8569472964,0,0,0.0,STNWG,2,F,E,3,0.0,0.0
1.06,0.8596851472,0,0,0.0,STNWG,3,M,D,4,0.0,0.0
2.43,0.3422313484,0,0,0.0,HDTOP,3,F,D,5,0.0,0.0
0.93,0.1341546886,0,0,0.0,SEDAN,3,F,D,5,0.0,0.0
1.63,0.5284052019,0,0,0.0,STNWG,2,M,C,2,0.0,0.0
1.65,0.4709103354,0,0,0.0,HBACK,2,M,D,4,0.0,0.0
1.47,0.1533196441,0,0,0.0,UTE,4,M,C,2,0.0,0.0
1.16,0.6105407255,0,0,0.0,SEDAN,3,M,C,5,0.0,0.0
2.08,0.59137577,0,0,0.0,SEDAN,2,F,C,3,0.0,0.0
0.86,0.7912388775,0,0,0.0,SEDAN,4,F,B,4,0.0,0.0
1.17,0.1533196441,0,0,0.0,HBACK,2,F,A,4,0.0,0.0
1.75,0.2299794661,0,0,0.0,HBACK,2,F,C,5,0.0,0.0
1.54,0.5941136208,0,0,0.0,HDTOP,4,M,F,5,0.0,0.0
1.349,0.8459958932,0,0,0.0,HBACK,1,F,C,3,0.0,0.0
1.45,0.5284052019,0,0,0.0,HBACK,2,F,B,4,0.0,0.0
1.05,0.5393566051,0,0,0.0,SEDAN,3,F,D,5,0.0,0.0
0.34,0.1533196441,0,0,0.0,HBACK,4,F,A,6,0.0,0.0
1.15,0.2299794661,1,1,20657.129944,STNWG,4,M,E,2,20657.0,4.35
0.77,0.8459958932,0,0,0.0,SEDAN,4,F,A,3,0.0,0.0
4.49,0.3750855578,1,1,558.89999962,STNWG,1,M,C,5,559.0,2.67
0.37,0.8459958932,0,0,0.0,HBACK,4,M,A,4,0.0,0.0
1.09,0.2299794661,0,0,0.0,STNWG,4,F,A,2,0.0,0.0
3.53,0.4353182752,0,0,0.0,STNWG,3,M,E,4,0.0,0.0
0.89,0.2299794661,0,0,0.0,HBACK,3,F,B,6,0.0,0.0
4.0,0.0492813142,0,0,0.0,STNWG,3,M,D,2,0.0,0.0
0.62,0.4380561259,0,0,0.0,PANVN,4,M,C,3,0.0,0.0
1.1,0.7419575633,0,0,0.0,HBACK,2,M,A,2,0.0,0.0
3.91,0.4681724846,0,0,0.0,UTE,1,M,F,2,0.0,0.0
1.0,0.4681724846,0,0,0.0,PANVN,4,M,C,3,0.0,0.0
0.71,0.1533196441,0,0,0.0,HBACK,3,F,C,4,0.0,0.0
1.18,0.9500342231,0,0,0.0,SEDAN,3,F,A,3,0.0,0.0
0.72,0.5284052019,0,0,0.0,HBACK,3,M,D,3,0.0,0.0
1.59,0.1533196441,0,0,0.0,STNWG,4,M,B,4,0.0,0.0
0.99,0.2546201232,0,0,0.0,HBACK,2,M,B,2,0.0,0.0
0.92,0.7446954141,1,1,353.76999998,HBACK,3,F,A,4,354.0,1.34
1.43,0.1095140315,0,0,0.0,SEDAN,2,F,A,3,0.0,0.0
1.29,0.9500342231,0,0,0.0,SEDAN,3,F,B,3,0.0,0.0
1.52,0.2299794661,0,0,0.0,HBACK,3,F,A,3,0.0,0.0
1.71,0.1724845996,0,0,0.0,SEDAN,2,M,A,5,0.0,0.0
2.39,0.2299794661,0,0,0.0,STNWG,2,F,A,2,0.0,0.0
0.42,0.1724845996,0,0,0.0,HBACK,4,F,C,4,0.0,0.0
1.37,0.4681724846,0,0,0.0,HBACK,1,F,D,5,0.0,0.0
2.98,0.1724845996,0,0,0.0,STNWG,2,F,C,5,0.0,0.0
0.79,0.257357974,0,0,0.0,SEDAN,4,F,D,4,0.0,0.0
2.9,0.6242299795,0,0,0.0,STNWG,3,M,B,4,0.0,0.0
2.84,0.6160164271,0,0,0.0,STNWG,3,F,C,4,0.0,0.0
0.71,0.1533196441,0,0,0.0,HBACK,3,M,E,6,0.0,0.0
1.12,0.6543463381,0,0,0.0,SEDAN,3,M,A,4,0.0,0.0
2.75,0.1724845996,0,0,0.0,STNWG,1,F,A,2,0.0,0.0
1.7,0.8459958932,0,0,0.0,SEDAN,2,M,B,4,0.0,0.0
0.97,0.8459958932,0,0,0.0,SEDAN,4,F,E,3,0.0,0.0
1.79,0.4681724846,0,0,0.0,SEDAN,2,F,A,6,0.0,0.0
0.81,0.3641341547,0,0,0.0,HBACK,3,F,C,4,0.0,0.0
1.49,0.1533196441,0,0,0.0,HBACK,1,F,D,5,0.0,0.0
0.92,0.1533196441,0,0,0.0,HBACK,3,F,A,4,0.0,0.0
0.86,0.4681724846,0,0,0.0,SEDAN,3,F,C,5,0.0,0.0
2.02,0.4681724846,0,0,0.0,SEDAN,2,M,C,1,0.0,0.0
2.95,0.1533196441,0,0,0.0,STNWG,1,F,A,5,0.0,0.0
1.09,0.4681724846,0,0,0.0,SEDAN,4,F,C,3,0.0,0.0
1.75,0.7063655031,0,0,0.0,SEDAN,2,F,A,4,0.0,0.0
5.11,0.5393566051,0,0,0.0,STNWG,2,M,C,3,0.0,0.0
0.54,0.1724845996,0,0,0.0,UTE,4,F,E,5,0.0,0.0
1.74,0.1533196441,0,0,0.0,HBACK,2,F,B,2,0.0,0.0
3.9,0.2546201232,0,0,0.0,SEDAN,3,F,C,4,0.0,0.0
0.51,0.8459958932,0,0,0.0,SEDAN,4,F,C,1,0.0,0.0
5.7,0.4681724846,0,0,0.0,STNWG,1,M,B,5,0.0,0.0
1.15,0.5585215606,0,0,0.0,HBACK,3,M,B,3,0.0,0.0
0.57,0.3696098563,0,0,0.0,SEDAN,4,M,C,4,0.0,0.0
1.86,0.4681724846,0,0,0.0,HBACK,1,F,C,4,0.0,0.0
1.47,0.5585215606,0,0,0.0,HBACK,2,M,B,3,0.0,0.0
0.92,0.5941136208,1,1,1013.8399963,HBACK,3,F,A,4,1014.0,1.68
4.51,0.5311430527,0,0,0.0,STNWG,1,F,F,2,0.0,0.0
1.36,0.5941136208,0,0,0.0,STNWG,4,M,B,3,0.0,0.0
2.96,0.1533196441,0,0,0.0,STNWG,2,F,A,1,0.0,0.0
1.25,0.5311430527,0,0,0.0,SEDAN,3,F,B,3,0.0,0.0
2.2,0.1451060917,0,0,0.0,HBACK,3,F,E,3,0.0,0.0
0.89,0.6844626968,0,0,0.0,SEDAN,4,F,D,2,0.0,0.0
2.01,0.2518822724,0,0,0.0,SEDAN,2,F,A,3,0.0,0.0
2.81,0.1533196441,0,0,0.0,UTE,2,M,F,2,0.0,0.0
2.32,0.1533196441,0,0,0.0,STNWG,3,F,D,2,0.0,0.0
1.76,0.1533196441,0,0,0.0,SEDAN,1,F,A,5,0.0,0.0
1.36,0.1533196441,0,0,0.0,HBACK,1,F,A,3,0.0,0.0
0.62,0.1533196441,0,0,0.0,SEDAN,4,M,B,3,0.0,0.0
1.0,0.2299794661,0,0,0.0,HBACK,3,M,A,3,0.0,0.0
2.38,0.4681724846,1,1,650.86999989,SEDAN,1,F,A,3,651.0,2.14
1.87,0.3559206023,0,0,0.0,UTE,2,M,D,5,0.0,0.0
2.59,0.3312799452,0,0,0.0,STNWG,3,M,C,4,0.0,0.0
2.35,0.3559206023,0,0,0.0,SEDAN,1,M,A,5,0.0,0.0
2.56,0.3559206023,0,0,0.0,UTE,2,M,D,5,0.0,0.0
1.41,0.93908282,0,0,0.0,SEDAN,2,M,E,4,0.0,0.0
1.48,0.1752224504,0,0,0.0,SEDAN,3,M,D,6,0.0,0.0
1.3,0.3559206023,0,0,0.0,SEDAN,3,F,A,6,0.0,0.0
2.09,0.3559206023,0,0,0.0,UTE,3,M,B,4,0.0,0.0
1.94,0.3559206023,0,0,0.0,SEDAN,2,M,C,6,0.0,0.0
1.33,0.9993155373,0,0,0.0,STNWG,4,M,A,6,0.0,0.0
3.34,0.3559206023,0,0,0.0,STNWG,3,M,C,6,0.0,0.0
0.61,0.3559206023,0,0,0.0,SEDAN,4,M,B,6,0.0,0.0
1.9,0.3559206023,0,0,0.0,STNWG,3,F,B,1,0.0,0.0
0.34,0.5941136208,0,0,0.0,SEDAN,4,M,D,3,0.0,0.0
0.5,0.2299794661,0,0,0.0,SEDAN,4,M,A,3,0.0,0.0
1.02,0.3559206023,0,0,0.0,SEDAN,3,M,C,3,0.0,0.0
1.23,0.3559206023,0,0,0.0,STNWG,3,F,C,3,0.0,0.0
2.17,0.3559206023,0,0,0.0,SEDAN,1,M,D,3,0.0,0.0
1.56,0.9993155373,1,2,1558.1799984,SEDAN,1,F,A,4,779.0,2.0
4.63,0.3559206023,0,0,0.0,STNWG,2,M,B,5,0.0,0.0
4.56,0.3559206023,0,0,0.0,STNWG,1,F,C,5,0.0,0.0
1.35,0.643394935,0,0,0.0,UTE,3,M,C,1,0.0,0.0
1.37,0.3559206023,0,0,0.0,SEDAN,2,M,C,6,0.0,0.0
1.71,0.6324435318,0,0,0.0,SEDAN,2,M,A,3,0.0,0.0
0.41,0.3559206023,0,0,0.0,HBACK,4,F,A,6,0.0,0.0
